iter	RMSE
0	2.276591312
1	2.148426394
2	2.031606774
3	1.955209539
4	1.870414598
5	1.803620448
6	1.739540644
7	1.683350472
8	1.647196748
9	1.610587198
10	1.559534892
11	1.532575501
12	1.490502282
13	1.46136561
14	1.422490018
15	1.367954582
16	1.348858831
17	1.31257038
18	1.276028871
19	1.255085103
20	1.226245876
21	1.214527783
22	1.195614322
23	1.154355188
24	1.140808811
25	1.121237114
26	1.109700693
27	1.096776166
28	1.085531928
29	1.074654579
30	1.053103375
31	1.044491161
32	1.036559424
33	1.02510411
34	1.011905153
35	1.00029067
36	0.9860051169
37	0.9758193582
38	0.9709058588
39	0.9638825478
40	0.9574838635
41	0.9522905652
42	0.9476648119
43	0.9382780723
44	0.9304889079
45	0.9255178079
46	0.9160157225
47	0.9061206139
48	0.9030860723
49	0.8969042639
50	0.8907584407
51	0.8852701561
52	0.8789571677
53	0.876129277
54	0.8697386376
55	0.8641030156
56	0.8606303295
57	0.8572100742
58	0.8530980616
59	0.8485437857
60	0.8448491998
61	0.8377455049
62	0.8303895162
63	0.827954038
64	0.8235797888
65	0.8195653059
66	0.8148914439
67	0.8136148853
68	0.8098215709
69	0.8058014683
70	0.8032591772
71	0.7927875795
72	0.7885359101
73	0.7856106132
74	0.7823032334
75	0.7797725259
76	0.7757129724
77	0.7728788938
78	0.7692044744
79	0.7636523811
80	0.7596922797
81	0.7564714159
82	0.7547271903
83	0.7507501959
84	0.7472431839
85	0.7452208182
86	0.7438186059
87	0.7415905548
88	0.7389252287
89	0.7375753452
90	0.7345380788
91	0.7311656971
92	0.7281476825
93	0.7249440631
94	0.722618886
95	0.7204295543
96	0.7180379208
97	0.7149506779
98	0.7127286234
99	0.7107568782
100	0.709061976
101	0.7072477811
102	0.7050868781
103	0.7024630176
104	0.7007031216
105	0.6983478181
106	0.696326897
107	0.6952639631
108	0.6912154392
109	0.6893351217
110	0.6878355261
111	0.6860474907
112	0.6849052206
113	0.684066099
114	0.6822134883
115	0.6796295888
116	0.6787808574
117	0.6773946343
118	0.6753381082
119	0.6736092779
120	0.6720717037
121	0.6694790762
122	0.6672191852
123	0.6639788762
124	0.6613392179
125	0.6591213039
126	0.6574494331
127	0.6548436186
128	0.6535481631
129	0.651883236
130	0.651127033
131	0.6487442842
132	0.6472273072
133	0.6463887239
134	0.6459159731
135	0.6440452903
136	0.6421770842
137	0.6414451401
138	0.6403713249
139	0.6397109741
140	0.6380643643
141	0.6364707428
142	0.6356569875
143	0.6345385464
144	0.6339096829
145	0.6327143941
146	0.6318659985
147	0.6302641005
148	0.6279494807
149	0.626934152
150	0.6253971173
151	0.6249803769
152	0.6221445269
153	0.6204690773
154	0.6190163215
155	0.6180021386
156	0.6162004511
157	0.6140439955
158	0.6127210542
159	0.6117433853
160	0.6108352011
161	0.6100137111
162	0.609732891
163	0.6081393874
164	0.6075803656
165	0.6066289702
166	0.6062507764
167	0.6040519467
168	0.6030627921
169	0.6024691457
170	0.6015018271
171	0.60057216
172	0.5998453928
173	0.598490474
174	0.597826332
175	0.596445893
176	0.5961892841
177	0.5944374291
178	0.5929729367
179	0.5918075826
180	0.5902109766
181	0.5886431904
182	0.5861866187
183	0.5842654575
184	0.5836490574
185	0.5831225391
186	0.5825451386
187	0.5819337613
188	0.5812401721
189	0.5808842814
190	0.5791475941
191	0.5778960006
192	0.5770970678
193	0.5763476405
194	0.5756621365
195	0.5748305556
196	0.5739358837
197	0.5734384488
198	0.5728525921
199	0.5721689153
200	0.5716062343
201	0.5696274844
202	0.5689216881
203	0.5677836776
204	0.5669050418
205	0.5659619654
206	0.5651881458
207	0.5638777163
208	0.5629157843
209	0.5618496863
210	0.5613483431
211	0.5610955949
212	0.5607085645
213	0.5600444293
214	0.5595610204
215	0.5586837634
216	0.5580439517
217	0.557079503
218	0.556520757
219	0.5558043695
220	0.5553065402
221	0.5541367677
222	0.5531880852
223	0.5527045418
224	0.5517020946
225	0.5509734457
226	0.549950133
227	0.5495549377
228	0.5489777231
229	0.548482103
230	0.5476997978
231	0.5469569616
232	0.5462660434
233	0.5452665804
234	0.5447085142
235	0.5439335076
236	0.543355917
237	0.5424055866
238	0.5419281312
239	0.5410843475
240	0.5406946832
241	0.5402192928
242	0.5400889568
243	0.5395158303
244	0.5391649081
245	0.5387328199
246	0.538497315
247	0.5380840416
248	0.5372600336
249	0.5369071008
250	0.5362424099
251	0.5348328904
252	0.533931779
253	0.5334266537
254	0.5328510727
255	0.5318980089
256	0.5317517222
257	0.5309735509
258	0.530291862
259	0.5297128968
260	0.5293674183
261	0.5285949074
262	0.5278106389
263	0.5265831375
264	0.5258723492
265	0.5244721197
266	0.5231954263
267	0.522978869
268	0.5221175021
269	0.5216793777
270	0.5211840788
271	0.5206554975
272	0.5203179817
273	0.5195230654
274	0.5189343035
275	0.5184183948
276	0.518287227
277	0.5177192819
278	0.5171121184
279	0.5166424384
280	0.5158230495
281	0.5154878302
282	0.5149463558
283	0.5146815821
284	0.5141097722
285	0.5139122319
286	0.5134350359
287	0.512852403
288	0.5116720208
289	0.5110255496
290	0.5105873637
291	0.5098293956
292	0.5093922016
293	0.5074984099
294	0.5069295194
295	0.5068337751
296	0.5065258225
297	0.506131933
298	0.5057644526
299	0.5056157253
300	0.504846937
301	0.5043979125
302	0.5038444717
303	0.503613847
304	0.5032634884
305	0.502656132
306	0.5022368943
307	0.5017138787
308	0.501112147
309	0.5007812331
310	0.5002700124
311	0.4997320451
312	0.4993047127
313	0.4990710038
314	0.4988848473
315	0.4986015002
316	0.4980149336
317	0.4972913068
318	0.4969977564
319	0.4964656064
320	0.4959244764
321	0.4955521182
322	0.4951774359
323	0.4945785484
324	0.4943647996
325	0.4933697432
326	0.4929961168
327	0.4928180143
328	0.4924416063
329	0.4919676554
330	0.4912414956
331	0.4906567854
332	0.4904900993
333	0.49023488
334	0.4899555019
335	0.4896696879
336	0.4890529878
337	0.4885629301
338	0.4879711426
339	0.4874871885
340	0.4862462834
341	0.4859769501
342	0.4857017592
343	0.4853007631
344	0.4851212604
345	0.4846650486
346	0.4845558849
347	0.4844268304
348	0.4841222903
349	0.483625569
350	0.4832380715
351	0.4828820627
352	0.4816344761
353	0.4807149059
354	0.4805769138
355	0.4799130356
356	0.4798604452
357	0.4794158915
358	0.4789563467
359	0.4786245207
360	0.4784125717
361	0.4780675889
362	0.477445862
363	0.4767913892
364	0.4766299061
365	0.4763838261
366	0.4759222564
367	0.4757269394
368	0.4752485236
369	0.4749725714
370	0.4747202884
371	0.4744242839
372	0.4742053225
373	0.4738637343
374	0.4735486768
375	0.4732582162
376	0.4730564292
377	0.4727801569
378	0.4725411965
379	0.4722680048
380	0.4719219045
381	0.4717162869
382	0.4712806753
383	0.4706679163
384	0.4698026287
385	0.4696248972
386	0.4693637441
387	0.4689321459
388	0.4685500952
389	0.4681874108
390	0.4679774671
391	0.467230076
392	0.4670505718
393	0.4669464602
394	0.4666368837
395	0.4665159524
396	0.466007906
397	0.4658029658
398	0.4655429227
399	0.4652492964
400	0.4645070209
401	0.4641263835
402	0.463903821
403	0.4636934079
404	0.4628498673
405	0.4625064228
406	0.4623593318
407	0.4621513639
408	0.4620074021
409	0.461714407
410	0.4613813477
411	0.4611216103
412	0.460765363
413	0.4603095583
414	0.460152057
415	0.4597291565
416	0.4593610182
417	0.4591360099
418	0.4589078801
419	0.4583242811
420	0.4572326612
421	0.4570217935
422	0.4568964366
423	0.4562684116
424	0.4561539104
425	0.4558335706
426	0.455638825
427	0.4553654033
428	0.4549481691
429	0.4547897184
430	0.454739605
431	0.4545720602
432	0.4544522212
433	0.453881242
434	0.4531322067
435	0.4530394203
436	0.4525329713
437	0.4522079878
438	0.4518193276
439	0.4515693054
440	0.4507968575
441	0.4505393284
442	0.4500155773
443	0.4496766566
444	0.4482971035
445	0.4481098944
446	0.4479442251
447	0.4476690128
448	0.4468112496
449	0.4466887294
450	0.446614938
451	0.4462898393
452	0.4459944478
453	0.4456689592
454	0.4454384637
455	0.4450109523
456	0.4448054041
457	0.4446362058
458	0.4445547992
459	0.4436720715
460	0.4431674124
461	0.4428127657
462	0.4417540989
463	0.4407837785
464	0.4403032524
465	0.4399064984
466	0.4397953657
467	0.4395477471
468	0.4394194574
469	0.4388514591
470	0.4385407713
471	0.4383123271
472	0.4380762101
473	0.4378309555
474	0.4376357575
475	0.4373883337
476	0.4372026708
477	0.4370397304
478	0.4364517798
479	0.4359369705
480	0.435780093
481	0.4355372373
482	0.4353558001
483	0.4350963555
484	0.4349482188
485	0.4346851833
486	0.4342851735
487	0.4341642871
488	0.4339374824
489	0.4336586599
490	0.4335764962
491	0.4333173018
492	0.4332060346
493	0.4330883416
494	0.4329819682
495	0.4323045328
496	0.4321699134
497	0.4318758866
498	0.4316338631
499	0.4309425838
500	0.4308445463
501	0.4306352754
502	0.4305022189
503	0.4303664046
504	0.429043575
505	0.4287002667
506	0.4282890259
507	0.4280649293
508	0.4279465336
509	0.4274967042
510	0.4274271539
511	0.4271697017
512	0.4268548781
513	0.4265451872
514	0.4262037029
515	0.4260066095
516	0.4259436649
517	0.42580481
518	0.4256134927
519	0.4253580881
520	0.4252357059
521	0.4249669778
522	0.424520481
523	0.4241682704
524	0.4240598661
525	0.4238447582
526	0.4236743044
527	0.4235090295
528	0.4230947386
529	0.4229175185
530	0.4228085579
531	0.4226275521
532	0.4222736313
533	0.422144797
534	0.4220524905
535	0.4216931174
536	0.4215209422
537	0.4214273348
538	0.4213409616
539	0.4211691382
540	0.4210563984
541	0.4209220968
542	0.4205080449
543	0.4203043255
544	0.4198552887
545	0.4198042645
546	0.4194129033
547	0.4192507617
548	0.4191501792
549	0.418875011
550	0.4185428643
551	0.4183126041
552	0.4179684405
553	0.4178946586
554	0.4177789772
555	0.4174467241
556	0.4172224904
557	0.4170998077
558	0.4169873179
559	0.4167206068
560	0.4161270823
561	0.4160641785
562	0.415859441
563	0.4155636477
564	0.4154449413
565	0.4152903808
566	0.4147238833
567	0.414604505
568	0.4142249313
569	0.4139097846
570	0.4138709747
571	0.4137001157
572	0.4136521118
573	0.4133215947
574	0.4131060237
575	0.4129752218
576	0.412861212
577	0.4125761499
578	0.4121396091
579	0.4120660651
580	0.411881294
581	0.4118059853
582	0.4114682751
583	0.4112152916
584	0.411113719
585	0.4108118325
586	0.410745107
587	0.4106259693
588	0.4102389922
589	0.4100429393
590	0.4098359911
591	0.4098022546
592	0.4096447638
593	0.4094701879
594	0.4093770223
595	0.4092761997
596	0.409057487
597	0.4088410861
598	0.4086156166
599	0.4081874018
600	0.4080821544
601	0.4079604933
602	0.4078375272
603	0.4077001525
604	0.4075750317
605	0.4074952467
606	0.4071323466
607	0.4067616013
608	0.4064620649
609	0.4063139243
610	0.4057492875
611	0.4056213432
612	0.4050796473
613	0.40500687
614	0.4049184191
615	0.4047658419
616	0.4043557716
617	0.4042925951
618	0.4041832084
619	0.4039920093
620	0.4039463536
621	0.4038659794
622	0.4036455764
623	0.4035333501
624	0.4034104267
625	0.4032852938
626	0.4032200395
627	0.4030054185
628	0.4028726058
629	0.4027169086
630	0.4024636454
631	0.4023424279
632	0.4022064038
633	0.4021101974
634	0.4020018383
635	0.4017260298
636	0.4016640351
637	0.4014808765
638	0.4012996739
639	0.4011527868
640	0.4009810651
641	0.4008778384
642	0.4008119182
643	0.4006641585
644	0.4005911101
645	0.4005034177
646	0.4004647843
647	0.4003806966
648	0.4002257916
649	0.4000358031
650	0.3997086779
651	0.3995887932
652	0.3994931915
653	0.3993660356
654	0.3992748343
655	0.3991339727
656	0.398938931
657	0.3988392137
658	0.3987284767
659	0.3978377039
660	0.3977831798
661	0.3976924228
662	0.397438128
663	0.3972756023
664	0.397221752
665	0.3971904459
666	0.3971252053
667	0.3970241687
668	0.3968505234
669	0.3967299037
670	0.3964895238
671	0.3963132948
672	0.3962692441
673	0.395822435
674	0.3956700836
675	0.3954903183
676	0.3953365226
677	0.395120379
678	0.3947862727
679	0.3943987435
680	0.3940263428
681	0.393843065
682	0.3937882384
683	0.3936456283
684	0.3934683533
685	0.3933112839
686	0.393223766
687	0.3930977536
688	0.3929370041
689	0.392716594
690	0.3924023412
691	0.3922443344
692	0.3919442174
693	0.3918187101
694	0.3917614086
695	0.3916386961
696	0.3914017874
697	0.391390109
698	0.3913290346
699	0.3912167858
700	0.391153215
701	0.3909341019
702	0.3907070994
703	0.3904833742
704	0.390308621
705	0.3902568867
706	0.3901251891
707	0.389979686
708	0.3898073925
709	0.3895687239
710	0.3894648648
711	0.3893586312
712	0.3893126102
713	0.3892876991
714	0.3891005935
715	0.3890429719
716	0.3888409813
717	0.3886920062
718	0.3885744092
719	0.3884826499
720	0.3882465622
721	0.3880545779
722	0.387988766
723	0.3878940955
724	0.3878124802
725	0.3877844289
726	0.3877067546
727	0.387586022
728	0.3874780902
729	0.3874326863
730	0.3873398285
731	0.387265892
732	0.3868543022
733	0.3868021338
734	0.3867371528
735	0.3865398524
736	0.3863684186
737	0.3860558067
738	0.3859203875
739	0.3856249093
740	0.3855441621
741	0.3854469274
742	0.3853867108
743	0.3850598895
744	0.3849800956
745	0.384783701
746	0.3846391023
747	0.3844539715
748	0.3844035451
749	0.3842186883
750	0.3840490441
751	0.383964696
752	0.3835921626
753	0.3834738447
754	0.3833736758
755	0.383240715
756	0.3831341513
757	0.3828900852
758	0.3828012089
759	0.3827288264
760	0.3825964908
761	0.3824459386
762	0.3821285754
763	0.382069557
764	0.3820047765
765	0.3819582724
766	0.3818706053
767	0.3817701033
768	0.3817021123
769	0.3814729673
770	0.3811055871
771	0.3810281647
772	0.3809289809
773	0.3807678245
774	0.3807028395
775	0.3803139588
776	0.380227422
777	0.3800661284
778	0.379843078
779	0.3796740409
780	0.3795989219
781	0.3795140343
782	0.3794037911
783	0.3793549533
784	0.3792617226
785	0.3791513714
786	0.3791088531
787	0.3788811927
788	0.3787062648
789	0.3786039038
790	0.3784776658
791	0.3784098761
792	0.3782824574
793	0.3781897417
794	0.3779851981
795	0.3779103006
796	0.377736462
797	0.3775693792
798	0.3773571131
799	0.3772194028
800	0.3770763672
801	0.3769909855
802	0.3768835753
803	0.3765902575
804	0.376526072
805	0.3764750059
806	0.3763743549
807	0.3763439464
808	0.3762235005
809	0.3761831165
810	0.3761331764
811	0.3760842271
812	0.3756996491
813	0.3756046526
814	0.3754893938
815	0.3753134413
816	0.3752465936
817	0.3749921687
818	0.3744560827
819	0.3743635237
820	0.3742959192
821	0.3742532663
822	0.3742168045
823	0.3741927259
824	0.3741333043
825	0.3740426553
826	0.3739837735
827	0.3738328452
828	0.3737414118
829	0.373690136
830	0.3736762535
831	0.3735723002
832	0.3735274719
833	0.3734460261
834	0.3733537246
835	0.3733055535
836	0.3731497805
837	0.373016751
838	0.3727830157
839	0.3727209652
840	0.3726306793
841	0.3725020257
842	0.3724020532
843	0.3723357965
844	0.372264668
845	0.3721978333
846	0.3719289572
847	0.371792013
848	0.3716906319
849	0.3716042706
850	0.3715828714
851	0.3715290994
852	0.3714393393
853	0.3713422375
854	0.3713097282
855	0.371255882
856	0.3711310683
857	0.3710833965
858	0.3710013849
859	0.3709166286
860	0.3707120589
861	0.3706745968
862	0.3705245759
863	0.3704535061
864	0.3704086062
865	0.3702584538
866	0.3700718132
867	0.3699990699
868	0.3699213348
869	0.3698662897
870	0.3697661013
871	0.3696781823
872	0.3695327925
873	0.3694089491
874	0.369356145
875	0.3692660858
876	0.3692244898
877	0.3691046093
878	0.368998783
879	0.3687627583
880	0.3687012303
881	0.3686797154
882	0.368663438
883	0.3685940138
884	0.3684896183
885	0.3683260984
886	0.3682601979
887	0.3682005939
888	0.3681594293
889	0.3681316351
890	0.3681126623
891	0.3680484642
892	0.3678678393
893	0.367803543
894	0.3676515103
895	0.3675055956
896	0.367469379
897	0.3673204497
898	0.3672689993
899	0.3666907377
900	0.3666121445
901	0.3664905234
902	0.3663882146
903	0.3658669076
904	0.3657389167
905	0.3656391911
906	0.3655707202
907	0.3652015742
908	0.3651720961
909	0.3649718409
910	0.3648646357
911	0.3648032413
912	0.3647603079
913	0.3647281136
914	0.3646783488
915	0.3646464275
916	0.3644667707
917	0.3642304636
918	0.3641899965
919	0.3641316934
920	0.3639589719
921	0.3638466081
922	0.3636536707
923	0.3635939023
924	0.3635241364
925	0.3634305652
926	0.3633588426
927	0.3628804215
928	0.362760235
929	0.3626988411
930	0.3626407779
931	0.3624065689
932	0.3622303044
933	0.362158823
934	0.3618898263
935	0.3618031512
936	0.3614311369
937	0.3613639415
938	0.3613104384
939	0.3612301441
940	0.3611591812
941	0.3610967139
942	0.3610085776
943	0.3609982406
944	0.3609038687
945	0.3607143581
946	0.3605976535
947	0.3605391095
948	0.3603300625
949	0.3602840624
950	0.3601694051
951	0.3600097143
952	0.3599503367
953	0.3595755987
954	0.359466879
955	0.3594314327
956	0.3593820455
957	0.3592106259
958	0.3590996721
959	0.359020255
960	0.3586070434
961	0.3584998125
962	0.3584170133
963	0.3583166107
964	0.3582507492
965	0.3581654889
966	0.3581046624
967	0.3578776063
968	0.3578082953
969	0.3577780167
970	0.3577365813
971	0.3575609302
972	0.3575224382
973	0.3574551384
974	0.3572609163
975	0.3572383794
976	0.3570183992
977	0.3569823302
978	0.356808538
979	0.3566286115
980	0.3565691766
981	0.3563370363
982	0.3560836381
983	0.3560573774
984	0.3559896968
985	0.3559416083
986	0.3558666972
987	0.355807282
988	0.3557652413
989	0.3557212848
990	0.355668716
991	0.3556436012
992	0.3555088074
993	0.3554318809
994	0.355194607
995	0.355171926
996	0.35498752
997	0.3548692208
998	0.3547429547
999	0.3546914456
1000	0.3544350838
1001	0.3543666531
1002	0.3540777855
1003	0.3540313329
1004	0.35400042
1005	0.3539711163
1006	0.3539450442
1007	0.353913804
1008	0.3538004789
1009	0.3537797632
1010	0.3536824798
1011	0.353404201
1012	0.353325245
1013	0.3529262924
1014	0.3528849538
1015	0.3528692983
1016	0.3528561057
1017	0.3528486439
1018	0.3527866245
1019	0.3526192288
1020	0.3524611194
1021	0.3523324434
1022	0.3522841437
1023	0.3522279192
1024	0.3521523895
1025	0.3521055792
1026	0.3520595353
1027	0.351701441
1028	0.3516255016
1029	0.3516060476
1030	0.351591086
1031	0.3515213624
1032	0.3513829972
1033	0.3512565122
1034	0.3508157518
1035	0.3507522482
1036	0.3506326309
1037	0.350549607
1038	0.3502046212
1039	0.35012855
1040	0.3500258951
1041	0.349969127
1042	0.3499374883
1043	0.3498817693
1044	0.3497466628
1045	0.3495750978
1046	0.3494687769
1047	0.3493651629
1048	0.34918792
1049	0.3491422267
1050	0.3489636469
1051	0.348924864
1052	0.3488079404
1053	0.3487285282
1054	0.3487079616
1055	0.3485619555
1056	0.3483573425
1057	0.3482948886
1058	0.3482564781
1059	0.3482207975
1060	0.3481736129
1061	0.3481403928
1062	0.3480985177
1063	0.3480360299
1064	0.3479780935
1065	0.3477892574
1066	0.3477613864
1067	0.3476157672
1068	0.3475442812
1069	0.3475114542
1070	0.3474417612
1071	0.3473002135
1072	0.3472525994
1073	0.3471790986
1074	0.3470379192
1075	0.3469952324
1076	0.3469472297
1077	0.346901771
1078	0.3468828513
1079	0.3467974154
1080	0.3467506967
1081	0.3467121165
1082	0.3466447099
1083	0.3465857316
1084	0.3465530469
1085	0.3465234458
1086	0.3464617726
1087	0.3464097523
1088	0.3463746935
1089	0.3460725455
1090	0.3455830156
1091	0.345549389
1092	0.3455177542
1093	0.3454257453
1094	0.3452985675
1095	0.3451803312
1096	0.3451308877
1097	0.345059724
1098	0.3449452654
1099	0.3448443768
1100	0.3447588274
1101	0.3447157289
1102	0.3443047321
1103	0.3442368465
1104	0.3441983946
1105	0.3440381389
1106	0.3440071091
1107	0.3435077324
1108	0.3434809433
1109	0.343417676
1110	0.3433940499
1111	0.3433823947
1112	0.3432870102
1113	0.3429794562
1114	0.3429060464
1115	0.342779627
1116	0.3426183515
1117	0.3425276492
1118	0.3421483806
1119	0.3419685946
1120	0.3418819079
1121	0.341721058
1122	0.341517457
1123	0.3413709496
1124	0.3413465289
1125	0.3412231461
1126	0.3410098741
1127	0.340792469
1128	0.3407287394
1129	0.3406456727
1130	0.3406011223
1131	0.3405097401
1132	0.340447914
1133	0.3403648384
1134	0.3401541244
1135	0.340112488
1136	0.3398032315
1137	0.3397251606
1138	0.3395303515
1139	0.3394642181
1140	0.3394390053
1141	0.3393059258
1142	0.3392570874
1143	0.3391065258
1144	0.3390151073
1145	0.3389493771
1146	0.3388784866
1147	0.3388362246
1148	0.3386868988
1149	0.3386451715
1150	0.3384491771
1151	0.3383753208
1152	0.3383285568
1153	0.3382202428
1154	0.338016471
1155	0.3379779369
1156	0.3376274923
1157	0.3373647628
1158	0.3372885415
1159	0.3372592509
1160	0.3372019911
1161	0.3371219975
1162	0.3371054654
1163	0.3369806661
1164	0.3369295016
1165	0.336869751
1166	0.3368036785
1167	0.3366149953
1168	0.3365560589
1169	0.3365027927
1170	0.3364001946
1171	0.3363613103
1172	0.3362647268
1173	0.3362273795
1174	0.336186437
1175	0.3361058572
1176	0.3360792898
1177	0.3357548885
1178	0.3355958482
1179	0.3355231356
1180	0.3354052498
1181	0.3353316949
1182	0.3351058024
1183	0.334962771
1184	0.3349363415
1185	0.3348795503
1186	0.3347878137
1187	0.334703826
1188	0.3346311175
1189	0.3344216728
1190	0.3343832586
1191	0.3342564736
1192	0.33406293
1193	0.3339198984
1194	0.333722881
1195	0.333691886
1196	0.3336503122
1197	0.3336157998
1198	0.3334527676
1199	0.3333954672
1200	0.3331944558
1201	0.332482684
1202	0.3324490289
1203	0.332301051
1204	0.3322653744
1205	0.3322051419
1206	0.3321444567
1207	0.3316811464
1208	0.3316431136
1209	0.3316015042
1210	0.3315595358
1211	0.3315408418
1212	0.331411244
1213	0.3313801442
